Date,Technology,Healthcare,Financials,Energy
2019-01-31,79.9341672261556,139.1999969482422,113.55000305175781,81.76000213623047
2019-02-01,81.27899805704753,139.64999389648438,113.61000061035156,82.22000122070312
2019-02-04,81.61199951171875,140.38999938964844,114.47000122070312,80.48999786376953
2019-02-05,81.91083399454753,139.83999633789062,116.12000274658203,79.97000122070312
2019-02-06,80.2385025024414,141.1999969482422,116.05000305175781,80.27999877929688
2019-02-07,79.72533289591472,141.9499969482422,115.16000366210938,78.66999816894531
2019-02-08,78.94099934895833,141.27999877929688,115.41000366210938,77.29000091552734
2019-02-11,80.4383316040039,142.00999450683594,116.12000274658203,77.47000122070312
2019-02-12,79.98099772135417,142.08999633789062,115.08999633789062,77.12999725341797
2019-02-13,78.39266586303711,139.97000122070312,113.20999908447266,76.72000122070312
2019-02-14,78.25800069173177,139.7899932861328,112.61000061035156,76.83999633789062
2019-02-15,78.02616628011067,138.72999572753906,112.5199966430664,76.7699966430664
2019-02-18,78.26899846394856,139.0500030517578,112.51000213623047,76.55999755859375
2019-02-19,75.5364990234375,137.1999969482422,109.44999694824219,75.70999908447266
2019-02-20,76.04600143432617,136.82000732421875,110.31999969482422,75.80999755859375
2019-02-21,77.42999903361003,136.91000366210938,109.9000015258789,76.37000274658203
2019-02-22,78.55833053588867,138.2100067138672,111.30999755859375,76.36000061035156
2019-02-25,77.91966883341472,138.61000061035156,110.7699966430664,75.91000366210938
2019-02-26,76.40850067138672,138.4199981689453,111.3499984741211,75.9000015258789
2019-02-27,77.09066772460938,138.1199951171875,111.7300033569336,76.25
2019-02-28,77.05249913533528,138.75999450683594,110.81999969482422,75.55999755859375
2019-03-01,76.12066650390625,139.7899932861328,108.63999938964844,73.79000091552734
2019-03-04,75.97099939982097,138.85000610351562,109.70999908447266,74.0999984741211
2019-03-05,75.89850107828777,137.07000732421875,108.5199966430664,72.61000061035156
2019-03-06,75.09400177001953,131.3300018310547,108.22000122070312,72.16000366210938
2019-03-07,75.45850118001302,132.11000061035156,107.05999755859375,71.97000122070312
2019-03-08,74.25750096638997,131.14999389648438,105.95999908447266,70.7699966430664
2019-03-11,71.70066579182942,131.44000244140625,106.45999908447266,71.87999725341797
2019-03-12,73.5981674194336,133.72999572753906,109.73999786376953,73.58999633789062
2019-03-13,74.56566619873047,134.3800048828125,110.12999725341797,72.9800033569336
2019-03-14,75.50433349609375,136.67999267578125,110.37000274658203,74.30999755859375
2019-03-15,77.45199712117513,138.5500030517578,109.16000366210938,74.58000183105469
2019-03-18,78.29433568318684,139.02000427246094,110.33999633789062,74.91000366210938
2019-03-19,78.28483454386394,139.77999877929688,110.68000030517578,74.83999633789062
2019-03-20,77.99750264485677,141.67999267578125,109.2699966430664,74.02999877929688
2019-03-21,78.46933492024739,140.7100067138672,109.54000091552734,74.68000030517578
2019-03-22,78.31666564941406,140.08999633789062,109.81999969482422,74.3499984741211
2019-03-25,78.67233530680339,139.44000244140625,109.22000122070312,75.08999633789062
2019-03-26,80.01150131225586,140.22999572753906,110.70999908447266,75.73999786376953
2019-03-27,80.12766647338867,140.4499969482422,109.91000366210938,75.31999969482422
2019-03-28,80.8249994913737,142.2100067138672,110.19000244140625,76.61000061035156
2019-03-29,80.9778340657552,142.08999633789062,109.44000244140625,77.69000244140625
2019-04-01,81.08666610717773,143.05999755859375,108.66000366210938,76.94999694824219
2019-04-02,78.90049870808919,144.24000549316406,107.76000213623047,76.2699966430664
2019-04-03,79.29866409301758,141.85000610351562,108.4800033569336,76.5999984741211
2019-04-04,79.30549875895183,140.69000244140625,108.83999633789062,75.81999969482422
2019-04-05,79.19333521525066,139.27999877929688,111.80000305175781,76.62999725341797
2019-04-08,80.35583114624023,139.36000061035156,113.68000030517578,76.55999755859375
2019-04-09,80.96416727701823,140.02999877929688,113.80000305175781,75.72000122070312
2019-04-10,81.57066980997722,142.13999938964844,112.81999969482422,76.44000244140625
2019-04-11,81.58366521199544,140.57000732421875,113.48999786376953,76.12999725341797
2019-04-12,80.93483606974284,140.97000122070312,112.87000274658203,76.4800033569336
2019-04-15,80.9948361714681,141.41000366210938,113.3499984741211,76.43000030517578
2019-04-16,81.90100224812825,141.2100067138672,113.0199966430664,77.51000213623047
2019-04-17,82.0138308207194,140.11000061035156,114.0999984741211,77.56999969482422
2019-04-18,82.33066431681316,134.3000030517578,115.30000305175781,77.62999725341797
2019-04-19,82.5759989420573,134.7100067138672,113.9000015258789,77.08000183105469
2019-04-22,81.95933405558269,132.5,115.12000274658203,75.93000030517578
2019-04-23,81.48150253295898,131.86000061035156,113.98999786376953,75.4800033569336
2019-04-24,81.73233286539714,132.07000732421875,114.66999816894531,74.83999633789062
2019-04-25,81.2816645304362,130.30999755859375,113.54000091552734,74.98999786376953
2019-04-26,82.3984972635905,128.63999938964844,114.2699966430664,75.06999969482422
2019-04-29,82.96749750773112,128.83999633789062,116.36000061035156,75.37000274658203
2019-04-30,83.2913335164388,129.77999877929688,116.83000183105469,75.36000061035156
2019-05-01,82.91400146484375,131.1199951171875,115.70999908447266,74.93000030517578
2019-05-02,85.17866643269856,130.72999572753906,116.22000122070312,74.80999755859375
2019-05-03,85.18066533406575,133.02000427246094,115.8499984741211,75.33999633789062
2019-05-06,84.64833577473958,132.0800018310547,115.58999633789062,75.3499984741211
2019-05-07,83.48000081380208,130.22000122070312,116.0,74.36000061035156
2019-05-08,83.58549880981445,130.2899932861328,112.94000244140625,72.45999908447266
2019-05-09,82.57366561889648,131.07000732421875,112.93000030517578,71.75
2019-05-10,79.4275016784668,130.16000366210938,109.56999969482422,70.27999877929688
2019-05-13,80.83133443196614,130.77000427246094,110.43000030517578,70.95999908447266
2019-05-14,81.27849960327148,130.2100067138672,108.02999877929688,70.5
2019-05-15,83.35233306884766,131.67999267578125,109.86000061035156,72.37999725341797
2019-05-16,82.46750259399414,132.0399932861328,109.73999786376953,70.83999633789062
2019-05-17,81.54499689737956,131.92999267578125,107.68000030517578,69.62999725341797
2019-05-20,83.55966822306316,133.4199981689453,109.33999633789062,70.48999786376953
2019-05-21,80.95999908447266,130.25999450683594,104.80000305175781,67.6500015258789
2019-05-22,80.86033121744792,130.5399932861328,105.19999694824219,67.25
